Query Name,Description
query-1,"Cảnh quay các căn nhà tuyết; bắt đầu từ căn nhà số 13 và 17.
Tiếp theo là căn nhà số 7 và căn nhà số 1.
Đoạn clip kết thúc với cảnh nhiều người ngồi ăn món hầm trong 1 nồi to trên bếp lửa."
query-2,"Họp báo đầu tiên trên thế giới của người máy tại hội nghị về Trí tuệ Nhân tạo của Liên Hiệp Quốc tại Geneve (Thụy Sỹ). 
Có nhiều robot có hình dạng rất giống con người. 
Có người máy có mái tóc màu tím, mặc áo màu đen lấp lánh các đốm trắng sáng, có đeo camera độ sâu ở trước ngực và là ngôi sao nhạc Rock của ban nhạc Jam Galaxy."
query-3,"Màn biểu diễn với xe đạp trên khinh khí cầu ở độ cao khoảng 600m tại Anh. 
Bên trong khinh khí cầu có biểu tượng mặt trời màu vàng và hai con bò màu đỏ"
query-4,"Đoạn clip về xu hướng trang trí giáng sinh năm 2022 tại Anh với các mẫu phòng chủ đề Giáng Sinh. 
Có 1 căn phòng với ghế sofa màu cam, trên ghế có 3 cái gối màu xanh navy, xanh lá và nâu đỏ, có cây giáng sinh với các quả cầu màu đỏ ở bên trái, và có 1 bàn ăn với các ghế màu xanh navy. 
Cuối đoạn clip có các bộ quần áo có hoa văn màu đỏ "
query-5,"Đoạn clip có hình ảnh tượng Đại Phật cao 34m nặng 250 tấn tại Hồng Kông. 
Đầu đoạn clip có hình ảnh các bậc thang đi lên rất cao. 
Tượng Phật ngồi xếp bằng trên đỉnh núi."
query-6,"Giới thiệu về nam nghệ sĩ người Pháp thường trình diễn các bài hát về Việt Nam, ông thường mặc áo dài và đội khăn xếp. 
Có hình ảnh nữ diễn viên mặc áo dài màu vàng đồng đang múa quạt màu vàng. 
Có hình ảnh căn phòng với lá cờ Việt Nam ở giữa và treo nhiều nón lá trên trần nhà; người nghệ sĩ tên là Gerard Addat"
query-7,"Một cô gái đội nón xanh đậm đang rút dây cắm sạc ra khỏi chiếc xe ô tô điện.
Chiếc xe ô tô điện này màu trắng. 
Gần đó cũng có các trạm sạc xe điện màu trắng và đỏ.
Trạm sạc này có logo của hãng Tesla."
query-8,"Cảnh phóng một chiếc tên lửa ở giữa bãi đất trống và có một căn nhà màu trắng gần bệ phóng tên lửa. 
Chiếc tên lửa có 1 chấm đậm màu ở ngay đầu. 
Tên lửa mang 26 vệ tinh mới vào không gian, phục vụ các thử nghiệm phục vụ thông tin thương mại."
query-9,"Một đoạn video của một cô gái ngồi xe lăn được đẩy bởi một chàng trai mặc áo khoác màu sáng. 
Đây là đoạn video có watermark của nền tảng Tiktok; trên tường có hình vẽ 1 nhân vật màu xanh lá cây.
Đầu đoạn video có người đàn ông dùng camera quay lại cảnh này."
query-10,"Đoạn clip bắt đầu với cảnh một nhóm người đang kéo và đẩy một cái tượng có rất nhiều tay. 
Cuối đoạn clip quay một nhóm người đang đọc kinh
Giữa quyển kinh có chiếc điện thoại."
query-11,"Cảnh một đàn ngựa đang chạy, ở giữa có những chú ngựa nhỏ màu đen hoặc nâu. 
Xen ngang cảnh này có 1 người đàn ông đang căn chỉnh sợi dây ở đầu của 1 chú ngựa. 
Con ngựa này màu trắng. "
query-12,"Cảnh một nhóm người công nhân đang rửa trái cây trong một bồn nước. 
Các quả này được đựng trong những chiếc rổ màu xanh dương và màu đỏ. 
Sau đó là cảnh một nhóm người đang chuẩn bị các thùng xốp và kết thúc bằng cảnh quay khu vực trồng loại trái cây này."
query-13,"Cảnh một người mặc áo vàng, cổ áo viền đen, đang trả lời phỏng vấn. 
Có một người khác mặc áo tương tự ở phía sau đang đóng gói một loại thực phẩm khô màu đỏ sẫm hơi ngả cam. 
Bên phải áo màu vàng có logo chữ ""Gieo"" viết theo kiểu thư pháp."
query-14,"Một đoạn highlight bóng đá, có một cầu thủ áo đỏ sút trúng một cầu thủ áo vàng và bóng bật ra chạm tay người này. 
Tiếp theo là cảnh cầu thủ đá penalty vào góc phải dưới khung thành. 
Cảnh highlight sau đó là một pha tạt bóng từ cánh trái vào cho cầu thủ bên trong đánh đầu."
query-15,"Cảnh quay một chiếc xe màu xanh được trưng bày của hãng KIA. 
Chiếc xe này đang mở cả 2 cửa để thấy được nội thất bên trong. 
Có một người phụ nữ tóc xù đang đứng cạnh chiếc xe. "
query-16,"Cảnh vận đông viên đua xe đạp nối đuôi nhau. Hai người đầu đội nón màu trắng, người sau đội nón đỏ đen.
Người thứ hai mang áo số 42 và người thứ ba mang áo số 3.
Hai người đầu có áo giống nhau, màu vàng ở thân, tay áo màu xanh đỏ vàng. 
Cảnh quay lia về phía sau hàng với người cuối cùng có số thứ tự là ""37""."
query-17,"Cảnh một nhóm người đang thực hiện công tác cứu hộ trong đêm, bắt đầu là cảnh cứu hộ với 2 người mặc áo cam đi ở cuối hàng. 
Trên áo của một người lính cứu hộ có chữ Tiếng Việt.
Đoạn video này ghi lại ở Thổ Nhĩ Kỳ."
query-18,"Cảnh quay về một chiếc xe ô tô, có một người đàn ông đang gạt những nút trên bảng điều khiển của xe này.
Chiếc xe này màu cam và có hai chỗ ngồi.
Đây là một chiếc xe có kiểu dáng cổ điển được chuyển sang chạy bằng động cơ điện."
query-19,"Có một cái cây được treo rất nhiều giấy hình trái tim màu đỏ.
Có cảnh quay cận cảnh tay một người đang viết lên một tờ giấy hình trái tim.
Người đang viết là một bạn nữ có đeo một túi xách màu trắng.
"
query-20,Video KIS 
query-21,Video KIS 
query-22,Video KIS
query-23,Video KIS
query-24,Video KIS
query-25,Video KIS
query-26,Video KIS
query-27,Video KIS
query-28,Video KIS
query-29,Video KIS-Reserve
query-30,Video KIS
query-31,"Cảnh quay những cành cây bị đóng băng cùng với chiếc lá. Xung quanh có sương khá dày. 
Sau đó là cảnh 6 người du khách chụp hình. 
Sau đó là có một người cầm một chiếc máy ảnh để chụp lại hiện tượng này."
query-32,"Một người đàn ông đang dùng tay giữ một con chim, người còn lại đang dùng một thiết bị để đo chiều dài mỏ của con chim này.
Ngay trước đó người ta đeo một vòng vào chân con chim này để theo dõi nó.
Những người này mặc áo màu xanh lam/xanh ngọc.
Đây là loài chim hồng hạc nhưng vẻ ngoài chúng có màu xám.
"
